	+Z+Z	+Z+X	+Z+Y	+Z-Z	+Z-X	+Z-Y	+X+Z	+X+X	+X+Y	+X-Z	+X-X	+X-Y	+Y+Z	+Y+X	+Y+Y	+Y-Z	+Y-X	+Y-Y	-Z+Z	-Z+X	-Z+Y	-Z-Z	-Z-X	-Z-Y	-X+Z	-X+X	-X+Y	-X-Z	-X-X	-X-Y	-Y+Z	-Y+X	-Y+Y	-Y-Z	-Y-X	-Y-Y	Pulse length
44	39165.0	33985.0	34637.0	28670.0	34108.0	34762.0	36705.0	30402.0	35538.0	32989.0	36748.0	31560.0	37264.0	32334.0	30606.0	28073.0	35153.0	36545.0	34851.0	29851.0	32031.0	32080.0	35780.0	32868.0	36649.0	36413.0	30694.0	26639.0	30319.0	35426.0	36965.0	35348.0	36672.0	30526.0	32127.0	30996.0	4.4e-08
45	37491.0	32894.0	32662.0	26665.0	32470.0	31759.0	36483.0	32908.0	28916.0	25064.0	30732.0	34622.0	35152.0	35207.0	33025.0	25308.0	28824.0	30722.0	32570.0	33531.0	29650.0	25659.0	28517.0	32278.0	36200.0	30401.0	34899.0	29701.0	32357.0	28530.0	36090.0	28340.0	29520.0	29494.0	34994.0	33444.0	4.499999999999999e-08
46	37380.0	32415.0	32043.0	26996.0	32955.0	32278.0	35071.0	33643.0	34538.0	27527.0	30618.0	28953.0	35749.0	28926.0	33025.0	29936.0	35278.0	30728.0	33783.0	30272.0	34531.0	30169.0	32101.0	27937.0	36160.0	29530.0	29491.0	27594.0	33902.0	34731.0	36491.0	34349.0	30541.0	24371.0	29721.0	33157.0	4.5999999999999995e-08
47	37677.0	32370.0	33022.0	27953.0	32809.0	32519.0	36229.0	29283.0	30928.0	29643.0	35582.0	33616.0	35758.0	33038.0	29719.0	25454.0	31310.0	35277.0	33451.0	30717.0	28984.0	28627.0	32777.0	34176.0	35506.0	35509.0	33102.0	26628.0	29027.0	31446.0	35314.0	31033.0	35415.0	31052.0	33094.0	29546.0	4.699999999999999e-08
48	36277.0	31844.0	31230.0	25743.0	32431.0	31254.0	34726.0	33846.0	29325.0	23140.0	28541.0	31882.0	34828.0	32222.0	33964.0	27095.0	29659.0	27375.0	32327.0	32641.0	30904.0	25347.0	27432.0	29176.0	34728.0	28185.0	32472.0	29409.0	34636.0	29455.0	34824.0	29693.0	27716.0	25387.0	32744.0	33729.0	4.799999999999999e-08
49	38502.0	33534.0	32670.0	27106.0	33435.0	33986.0	36496.0	31562.0	35675.0	30477.0	34451.0	29986.0	37323.0	28686.0	30977.0	29879.0	35820.0	34335.0	35006.0	29134.0	33900.0	32379.0	34710.0	31272.0	37198.0	33092.0	29919.0	25834.0	32098.0	35814.0	36692.0	35425.0	33827.0	26991.0	29831.0	32519.0	4.8999999999999995e-08
50	37607.0	32139.0	32603.0	26435.0	32362.0	32179.0	35188.0	30506.0	29399.0	25338.0	31898.0	34313.0	35156.0	34503.0	30424.0	23829.0	29227.0	31944.0	33067.0	32486.0	28232.0	24604.0	30222.0	33940.0	35090.0	33129.0	34666.0	27687.0	31354.0	28746.0	35903.0	28046.0	32261.0	29498.0	35405.0	31383.0	4.999999999999999e-08
51	36582.0	31560.0	31423.0	26522.0	31576.0	31461.0	34843.0	33837.0	32832.0	25997.0	28417.0	29357.0	34647.0	29578.0	34090.0	29792.0	32577.0	28443.0	32538.0	31020.0	32609.0	29305.0	29665.0	27798.0	35247.0	28024.0	29709.0	27276.0	33942.0	33293.0	34687.0	32879.0	27833.0	24682.0	28771.0	33664.0	5.0999999999999993e-08
52	36832.0	31011.0	31915.0	25600.0	31361.0	32013.0	34754.0	27612.0	31107.0	29822.0	35112.0	30358.0	35291.0	30051.0	27416.0	24941.0	30874.0	34428.0	32659.0	27655.0	28772.0	27807.0	32432.0	31839.0	34793.0	34638.0	30413.0	24177.0	27534.0	31499.0	34785.0	31202.0	34396.0	28164.0	31122.0	28084.0	5.199999999999999e-08
53	38116.0	32260.0	32166.0	26204.0	32466.0	32706.0	36201.0	33935.0	29658.0	23745.0	29856.0	34448.0	35619.0	34855.0	33842.0	26436.0	29543.0	29539.0	33716.0	34168.0	30429.0	25173.0	28661.0	32066.0	36070.0	30115.0	34171.0	30138.0	33840.0	29557.0	35771.0	29207.0	29456.0	27170.0	34694.0	34181.0	5.299999999999999e-08
