	<n>	f
0	-0.0764228612916022	3670000000.0
1	-0.08526594041572795	3670200000.0
2	-0.07456964374371376	3670400000.0
3	-0.0850229660110264	3670600000.0
4	-0.07883206918020957	3670800000.0
5	-0.0886937419428698	3671000000.0
6	-0.08451834815122196	3671200000.0
7	-0.07473247219100218	3671400000.0
8	-0.08394155317653901	3671600000.0
9	-0.054239890051148924	3671800000.0
10	-0.0723552190956109	3672000000.0
11	-0.077155666224337	3672200000.0
12	-0.08832334743883714	3672400000.0
13	-0.08717961036418541	3672600000.0
14	-0.07196087130228955	3672800000.0
15	-0.08946966511866737	3673000000.0
16	-0.07199182487412015	3673200000.0
17	-0.06408459009875621	3673400000.0
18	-0.06980811351462902	3673600000.0
19	-0.07918221801411278	3673800000.0
20	-0.06218187440109514	3674000000.0
21	-0.07090038158774875	3674200000.0
22	-0.07718460787171952	3674400000.0
23	-0.09806365698913343	3674600000.0
24	-0.07067238611479468	3674800000.0
25	-0.09022722318136353	3675000000.0
26	-0.08340317654459117	3675200000.0
27	-0.06873755004125341	3675400000.0
28	-0.07404420978092685	3675600000.0
29	-0.07188451220678815	3675800000.0
30	-0.08484726980088365	3676000000.0
31	-0.09545428401209756	3676200000.0
32	-0.07284671645597857	3676400000.0
33	-0.055270834218001205	3676600000.0
34	-0.0674703052741951	3676800000.0
35	-0.06464304293895963	3677000000.0
36	-0.09004530062508083	3677200000.0
37	-0.06959876102302164	3677400000.0
38	-0.09174746810092865	3677600000.0
39	-0.08050142306689226	3677800000.0
40	-0.08667140032654505	3678000000.0
41	-0.07497038954119216	3678200000.0
42	-0.08826525522489609	3678400000.0
43	-0.07471994385302043	3678600000.0
44	-0.06748753995299409	3678800000.0
45	-0.06571157076686233	3679000000.0
46	-0.0657728638994011	3679200000.0
47	-0.08697427868375092	3679400000.0
48	-0.08371086122831456	3679600000.0
49	-0.07705668530392194	3679800000.0
50	-0.05228588623300615	3680000000.0
51	-0.08111967796352644	3680200000.0
52	-0.07590870800306583	3680400000.0
53	-0.07881651939866394	3680600000.0
54	-0.08144308770594577	3680800000.0
55	-0.06380882887433138	3681000000.0
56	-0.09036506016707073	3681200000.0
57	-0.07795946896124048	3681400000.0
58	-0.08398893763641131	3681600000.0
59	-0.09817367019813852	3681800000.0
60	-0.07910464055832245	3682000000.0
61	-0.06992141192264714	3682200000.0
62	-0.09184723790867855	3682400000.0
63	-0.07751831657388937	3682600000.0
64	-0.07250855681106051	3682800000.0
65	-0.07809823073423836	3683000000.0
66	-0.08213535093696224	3683200000.0
67	-0.0912996121078646	3683400000.0
68	-0.0849197378920485	3683600000.0
69	-0.07644625760344896	3683800000.0
70	-0.07999215192845566	3684000000.0
71	-0.08062595500488447	3684200000.0
72	-0.07829270702350564	3684400000.0
73	-0.0685474233922725	3684600000.0
74	-0.08017691867307397	3684800000.0
75	-0.07052551889132916	3685000000.0
76	-0.08179549540502307	3685200000.0
77	-0.06945588297977348	3685400000.0
78	-0.0638509253558765	3685600000.0
79	-0.08075011931769845	3685800000.0
80	-0.06014172447861618	3686000000.0
81	-0.07088016713881479	3686200000.0
82	-0.08358347653312606	3686400000.0
83	-0.08195312929708574	3686600000.0
84	-0.06493633103947964	3686800000.0
85	-0.06989743362724007	3687000000.0
86	-0.08766972316489229	3687200000.0
87	-0.08719272320332021	3687400000.0
88	-0.0766290294926042	3687600000.0
89	-0.06946877171783221	3687800000.0
90	-0.08356468792403253	3688000000.0
91	-0.04875840674075244	3688200000.0
92	-0.09225690995985515	3688400000.0
93	-0.0861332180497554	3688600000.0
94	-0.07398575970846609	3688800000.0
95	-0.08176848274433195	3689000000.0
96	-0.07063095688377376	3689200000.0
97	-0.07659232277774224	3689400000.0
98	-0.07236297345643615	3689600000.0
99	-0.08101075221821757	3689800000.0
100	-0.07433001463228105	3690000000.0
101	-0.08227639711956823	3690200000.0
102	-0.0741184103594107	3690400000.0
103	-0.07649874063573436	3690600000.0
104	-0.07876022514422587	3690800000.0
