	<n>	f
0	-0.14792121086415594	3670000000.0
1	-0.12483164705638647	3670200000.0
2	-0.12768770291329068	3670400000.0
3	-0.14348994187203684	3670600000.0
4	-0.1506311488737776	3670800000.0
5	-0.14542189285764098	3671000000.0
6	-0.12698771062195985	3671200000.0
7	-0.14028073044404185	3671400000.0
8	-0.1291873278576019	3671600000.0
9	-0.14843412686358326	3671800000.0
10	-0.1411109218206236	3672000000.0
11	-0.14173338535085528	3672200000.0
12	-0.14664844487933354	3672400000.0
13	-0.1318282595620772	3672600000.0
14	-0.14993597078136636	3672800000.0
15	-0.14064465341322308	3673000000.0
16	-0.13416905939018892	3673200000.0
17	-0.11576168963026687	3673400000.0
18	-0.1246642677015243	3673600000.0
19	-0.13497997653239804	3673800000.0
20	-0.13029778950908977	3674000000.0
21	-0.14656773218410746	3674200000.0
22	-0.13649963314375688	3674400000.0
23	-0.13245663179509462	3674600000.0
24	-0.1507495414726386	3674800000.0
25	-0.14660457373479402	3675000000.0
26	-0.12747674684031673	3675200000.0
27	-0.1358084373223997	3675400000.0
28	-0.12988363833297106	3675600000.0
29	-0.1422051773704029	3675800000.0
30	-0.14045982431627377	3676000000.0
31	-0.13988132523162128	3676200000.0
32	-0.13293743550370135	3676400000.0
33	-0.1456133425590024	3676600000.0
34	-0.15891511549411808	3676800000.0
35	-0.14074301266568773	3677000000.0
36	-0.1473702047117594	3677200000.0
37	-0.14075209861034277	3677400000.0
38	-0.1336583762527455	3677600000.0
39	-0.14489288102287645	3677800000.0
40	-0.1467617760225688	3678000000.0
41	-0.12768471134348092	3678200000.0
42	-0.13147635512445932	3678400000.0
43	-0.13735873675525964	3678600000.0
44	-0.14520528394185186	3678800000.0
45	-0.14947785795717403	3679000000.0
46	-0.1555119610372607	3679200000.0
47	-0.14725313245676075	3679400000.0
48	-0.13597967202949046	3679600000.0
49	-0.13556679608040811	3679800000.0
50	-0.14735808996378383	3680000000.0
51	-0.12347240211590368	3680200000.0
52	-0.1324786932608489	3680400000.0
53	-0.14229080419288248	3680600000.0
54	-0.14796439719809426	3680800000.0
55	-0.1502464700257609	3681000000.0
56	-0.15105813820376676	3681200000.0
57	-0.14017029308180673	3681400000.0
58	-0.13270171725320706	3681600000.0
59	-0.16523966173788363	3681800000.0
60	-0.13534543678885314	3682000000.0
61	-0.14850372121160826	3682200000.0
62	-0.15311948970962552	3682400000.0
63	-0.14335370613402446	3682600000.0
64	-0.1402921611453342	3682800000.0
65	-0.16009219701635855	3683000000.0
66	-0.1513599354585483	3683200000.0
67	-0.151154661328313	3683400000.0
68	-0.13311657476962033	3683600000.0
69	-0.15458104628760452	3683800000.0
70	-0.14571136377681967	3684000000.0
71	-0.14883192481561305	3684200000.0
72	-0.12261879315277996	3684400000.0
73	-0.13256484006283553	3684600000.0
74	-0.14346747677356314	3684800000.0
75	-0.1560415691052962	3685000000.0
76	-0.12107807510036578	3685200000.0
77	-0.1453289413234301	3685400000.0
78	-0.13679638451941184	3685600000.0
79	-0.1383197842403167	3685800000.0
80	-0.12757761884227317	3686000000.0
81	-0.13183915286990894	3686200000.0
82	-0.11418967741163963	3686400000.0
83	-0.14467635707424864	3686600000.0
84	-0.13532659826328725	3686800000.0
85	-0.1266434881890998	3687000000.0
86	-0.149609141715037	3687200000.0
87	-0.1510924096051613	3687400000.0
88	-0.1219317966469778	3687600000.0
89	-0.11357264900879284	3687800000.0
90	-0.12191175246779894	3688000000.0
91	-0.13492443723993208	3688200000.0
92	-0.1294351887024808	3688400000.0
93	-0.1291965868050504	3688600000.0
94	-0.13076681711321111	3688800000.0
95	-0.1459856647662128	3689000000.0
96	-0.14379681180414153	3689200000.0
97	-0.14130940147926604	3689400000.0
98	-0.13085147423665358	3689600000.0
99	-0.1419569471751579	3689800000.0
100	-0.15305925583903005	3690000000.0
101	-0.14184820526080916	3690200000.0
102	-0.1407682374362863	3690400000.0
103	-0.1275564490986447	3690600000.0
104	-0.14253879322055868	3690800000.0
105	-0.14219508012851476	3691000000.0
106	-0.1277617918075588	3691200000.0
107	-0.12260835329936617	3691400000.0
108	-0.15023288543122698	3691600000.0
109	-0.14895451258435224	3691800000.0
110	-0.13683895454970904	3692000000.0
111	-0.14585581112877483	3692200000.0
112	-0.15943545914123336	3692400000.0
113	-0.13231389831064017	3692600000.0
114	-0.12848811108708766	3692800000.0
115	-0.13868996100961037	3693000000.0
116	-0.12877271527152853	3693200000.0
117	-0.15269988127258485	3693400000.0
118	-0.13171217974114793	3693600000.0
119	-0.15023117564223956	3693800000.0
120	-0.13621439364031585	3694000000.0
121	-0.15803079888408741	3694200000.0
122	-0.15688093736535438	3694400000.0
123	-0.14394734614328222	3694600000.0
124	-0.1428474373587369	3694800000.0
125	-0.13924407119248336	3695000000.0
126	-0.1424462707176888	3695200000.0
127	-0.12690600728238424	3695400000.0
128	-0.15262043092932487	3695600000.0
129	-0.12730529235134327	3695800000.0
130	-0.14033642584309797	3696000000.0
131	-0.1340870920690756	3696200000.0
132	-0.13931067744874395	3696400000.0
133	-0.14535114791827472	3696600000.0
134	-0.1661941930806226	3696800000.0
135	-0.12472560034885141	3697000000.0
136	-0.13420139034627634	3697200000.0
137	-0.15992051432572352	3697400000.0
138	-0.1430315946810432	3697600000.0
139	-0.13472610656492165	3697800000.0
140	-0.13528499927376866	3698000000.0
141	-0.1460975410259937	3698200000.0
142	-0.1429434038241569	3698400000.0
143	-0.14182675178320595	3698600000.0
144	-0.14194424978461695	3698800000.0
145	-0.13169701404865633	3699000000.0
146	-0.14504276782316217	3699200000.0
147	-0.1173788501773211	3699400000.0
148	-0.1331569639984212	3699600000.0
149	-0.14429983380595823	3699800000.0
150	-0.1284289836303114	3700000000.0
151	-0.12305422761990234	3700200000.0
152	-0.12924753989895918	3700400000.0
153	-0.13335648692041394	3700600000.0
154	-0.1363299656511614	3700800000.0
155	-0.14395986185780033	3701000000.0
156	-0.1392092316405679	3701200000.0
157	-0.14557168905639842	3701400000.0
158	-0.13084424644820608	3701600000.0
159	-0.14491107282066445	3701800000.0
160	-0.1338170688182745	3702000000.0
161	-0.15206890599023246	3702200000.0
162	-0.13510742427281786	3702400000.0
163	-0.12341373172848932	3702600000.0
164	-0.12934255940369394	3702800000.0
165	-0.11709869869886562	3703000000.0
166	-0.1494347444935473	3703200000.0
167	-0.13221375936022334	3703400000.0
168	-0.13590320126001543	3703600000.0
169	-0.1272942577951302	3703800000.0
170	-0.14229862669264118	3704000000.0
171	-0.12448476915132407	3704200000.0
172	-0.14288046560820364	3704400000.0
173	-0.15203589828269934	3704600000.0
174	-0.13486003991992754	3704800000.0
175	-0.14260153840907955	3705000000.0
176	-0.13376674541902708	3705200000.0
177	-0.12611293054463601	3705400000.0
178	-0.13344176917624773	3705600000.0
179	-0.12675388156576	3705800000.0
180	-0.12122924751412895	3706000000.0
181	-0.11404008571572823	3706200000.0
182	-0.14292325446413714	3706400000.0
183	-0.12563822472716782	3706600000.0
184	-0.1291831665360151	3706800000.0
185	-0.12878123379594933	3707000000.0
186	-0.12502009642024137	3707200000.0
187	-0.13580305259816478	3707400000.0
188	-0.10923060716032516	3707600000.0
189	-0.13686553884539882	3707800000.0
190	-0.13530136425970277	3708000000.0
191	-0.12761916152197847	3708200000.0
192	-0.13625907097791629	3708400000.0
193	-0.117924492592334	3708600000.0
194	-0.12170559738254398	3708800000.0
195	-0.12440228780405665	3709000000.0
196	-0.12618040593784255	3709200000.0
197	-0.10937601973571434	3709400000.0
198	-0.120903338762968	3709600000.0
199	-0.14327742978791613	3709800000.0
200	-0.12135584134948534	3710000000.0
201	-0.13920369481838052	3710200000.0
202	-0.1484373743151365	3710400000.0
203	-0.14509639174268701	3710600000.0
204	-0.13566479365129452	3710800000.0
205	-0.11698300270383608	3711000000.0
206	-0.15712059315986943	3711200000.0
207	-0.13060060537731474	3711400000.0
208	-0.13775258654636155	3711600000.0
209	-0.13719696196282724	3711800000.0
210	-0.11940684601609414	3712000000.0
211	-0.12250934052658526	3712200000.0
212	-0.12445116837563393	3712400000.0
213	-0.14454630562279003	3712600000.0
214	-0.12811839375165632	3712800000.0
215	-0.12738792998823206	3713000000.0
216	-0.13116403534885454	3713200000.0
217	-0.1338534640818359	3713400000.0
218	-0.1438317547134044	3713600000.0
219	-0.14253369744247923	3713800000.0
220	-0.14339369598826013	3714000000.0
221	-0.14143765508121794	3714200000.0
222	-0.15260111353633637	3714400000.0
223	-0.13938676875356837	3714600000.0
224	-0.13711444900935807	3714800000.0
225	-0.12471563145478873	3715000000.0
226	-0.1396190553336953	3715200000.0
227	-0.1408853151316392	3715400000.0
228	-0.11259856394298876	3715600000.0
229	-0.14851817675028958	3715800000.0
230	-0.1465414547312424	3716000000.0
231	-0.1263195741982133	3716200000.0
232	-0.14885482853235976	3716400000.0
233	-0.14191000400830223	3716600000.0
234	-0.13119166520192543	3716800000.0
235	-0.12426009106411447	3717000000.0
236	-0.12889985959158687	3717200000.0
237	-0.14900153426980015	3717400000.0
238	-0.12993514828906147	3717600000.0
239	-0.1395562015794574	3717800000.0
240	-0.13546441378453408	3718000000.0
241	-0.13186278298924534	3718200000.0
242	-0.13648328047204897	3718400000.0
243	-0.12575346840569732	3718600000.0
244	-0.11741985110911302	3718800000.0
245	-0.12700379494319966	3719000000.0
246	-0.1327601198493115	3719200000.0
247	-0.12144572731015092	3719400000.0
248	-0.13618731689290092	3719600000.0
249	-0.12722302667551258	3719800000.0
250	-0.13794758464378556	3720000000.0
251	-0.13830337954297087	3720200000.0
252	-0.12697401165452527	3720400000.0
253	-0.12367506888217529	3720600000.0
254	-0.1167268660591356	3720800000.0
255	-0.13142903559921276	3721000000.0
256	-0.11961879652288637	3721200000.0
257	-0.14274407553211835	3721400000.0
258	-0.13355450500660754	3721600000.0
259	-0.1287785544190361	3721800000.0
260	-0.13403925731952018	3722000000.0
261	-0.1416264048197985	3722200000.0
262	-0.1334990940578067	3722400000.0
263	-0.12788231411722178	3722600000.0
264	-0.14099990283448888	3722800000.0
265	-0.13693862500196466	3723000000.0
266	-0.11957046470935118	3723200000.0
267	-0.14560781513373502	3723400000.0
268	-0.12189238988856732	3723600000.0
269	-0.12909957305800393	3723800000.0
270	-0.14055557319130707	3724000000.0
271	-0.11328044807739894	3724200000.0
272	-0.1311486153015603	3724400000.0
273	-0.1374488845301061	3724600000.0
274	-0.1369309940524342	3724800000.0
275	-0.1389206934218356	3725000000.0
276	-0.12123276060602742	3725200000.0
277	-0.1397029908366392	3725400000.0
278	-0.12705845373938116	3725600000.0
279	-0.14622738576871863	3725800000.0
280	-0.13025087223289417	3726000000.0
281	-0.14062619820497588	3726200000.0
282	-0.13659444938974322	3726400000.0
283	-0.12306282900061252	3726600000.0
284	-0.12476492521316165	3726800000.0
285	-0.12874342747904396	3727000000.0
