	<n>	f
0	-0.09419489758365895	3670000000.0
1	-0.1174323192732671	3670200000.0
2	-0.12233517642905944	3670400000.0
3	-0.11217670197563628	3670600000.0
4	-0.1147190868912338	3670800000.0
5	-0.09862721504463003	3671000000.0
6	-0.1113143876677015	3671200000.0
7	-0.09730718380246003	3671400000.0
8	-0.11090137520523477	3671600000.0
9	-0.09932422515475564	3671800000.0
10	-0.11261542812022632	3672000000.0
11	-0.10035002710824299	3672200000.0
12	-0.10356679939039126	3672400000.0
13	-0.10428157089775908	3672600000.0
14	-0.10682222879353	3672800000.0
15	-0.10596383858337709	3673000000.0
16	-0.124954854128023	3673200000.0
17	-0.09545829250707633	3673400000.0
18	-0.09398384729257413	3673600000.0
19	-0.09498985440153238	3673800000.0
20	-0.09805430542512943	3674000000.0
21	-0.10966730676087147	3674200000.0
22	-0.11253112312122286	3674400000.0
23	-0.12189072035752017	3674600000.0
24	-0.12065391817006385	3674800000.0
25	-0.09758306526516339	3675000000.0
26	-0.11589627083519995	3675200000.0
27	-0.09838802844884323	3675400000.0
28	-0.10213567293833536	3675600000.0
29	-0.09639117614383018	3675800000.0
30	-0.11051838472121239	3676000000.0
31	-0.0927351769373189	3676200000.0
32	-0.11795408611596439	3676400000.0
33	-0.10222639927363956	3676600000.0
34	-0.11737864923503773	3676800000.0
35	-0.12375105315290011	3677000000.0
36	-0.10229487620572672	3677200000.0
37	-0.11595229041183303	3677400000.0
38	-0.10987745827394771	3677600000.0
39	-0.11976740397592932	3677800000.0
40	-0.11175262414035914	3678000000.0
41	-0.11137220546542011	3678200000.0
42	-0.1143326571604237	3678400000.0
43	-0.12144633226203899	3678600000.0
44	-0.10156706939383596	3678800000.0
45	-0.11090848819371582	3679000000.0
46	-0.11621242232081243	3679200000.0
47	-0.10611937290207701	3679400000.0
48	-0.09983133781374733	3679600000.0
49	-0.11347837193092018	3679800000.0
50	-0.10667845639066265	3680000000.0
51	-0.11088454857522863	3680200000.0
52	-0.10064901674082154	3680400000.0
53	-0.10849195805633997	3680600000.0
54	-0.10870112183132542	3680800000.0
55	-0.11141451116286895	3681000000.0
56	-0.0904555740792324	3681200000.0
57	-0.11048174743977257	3681400000.0
58	-0.09825153828775944	3681600000.0
59	-0.1121983744122037	3681800000.0
60	-0.09803614070065444	3682000000.0
61	-0.12639698238511396	3682200000.0
62	-0.11044636217404102	3682400000.0
63	-0.12666646070940188	3682600000.0
64	-0.09942567230128974	3682800000.0
65	-0.09507244147574014	3683000000.0
66	-0.10849183846924408	3683200000.0
67	-0.11445306381218892	3683400000.0
68	-0.11754753238687526	3683600000.0
69	-0.12095186327327205	3683800000.0
70	-0.11795808708682715	3684000000.0
71	-0.11818958933324149	3684200000.0
72	-0.10775152147743286	3684400000.0
73	-0.11011196034013467	3684600000.0
74	-0.12736538467365396	3684800000.0
75	-0.10355710350312393	3685000000.0
76	-0.10642006694656658	3685200000.0
77	-0.10463017364008922	3685400000.0
78	-0.10806683618291177	3685600000.0
79	-0.10234354146985475	3685800000.0
80	-0.12728770302181752	3686000000.0
81	-0.10721462943527246	3686200000.0
82	-0.10770678304738916	3686400000.0
83	-0.11736887676196617	3686600000.0
84	-0.11278984271758466	3686800000.0
85	-0.11411935124564687	3687000000.0
86	-0.10310332521511266	3687200000.0
87	-0.10562057439010833	3687400000.0
88	-0.1213311404602137	3687600000.0
89	-0.10320520371394962	3687800000.0
90	-0.110455960048086	3688000000.0
91	-0.12194025527980959	3688200000.0
92	-0.10861816800689271	3688400000.0
93	-0.10431150621414426	3688600000.0
94	-0.11503597970963272	3688800000.0
95	-0.11174127510628006	3689000000.0
96	-0.10786316480160328	3689200000.0
97	-0.10275006322257045	3689400000.0
98	-0.10656967841263792	3689600000.0
99	-0.10290777774418332	3689800000.0
100	-0.11913015301979342	3690000000.0
101	-0.11102244346644449	3690200000.0
102	-0.11442335882533779	3690400000.0
103	-0.1102994530267217	3690600000.0
104	-0.11498256728118621	3690800000.0
105	-0.12097171084254175	3691000000.0
106	-0.10014725114879106	3691200000.0
107	-0.112430320646954	3691400000.0
108	-0.10841938368528546	3691600000.0
109	-0.12821476095137813	3691800000.0
110	-0.10819040670953196	3692000000.0
111	-0.10171484171040941	3692200000.0
112	-0.1191438960842112	3692400000.0
113	-0.12917046218417755	3692600000.0
114	-0.10424898328286863	3692800000.0
115	-0.11358452930516694	3693000000.0
116	-0.09521186282557001	3693200000.0
117	-0.10439271693914977	3693400000.0
118	-0.11906139299605621	3693600000.0
119	-0.09843612875670127	3693800000.0
120	-0.12567050607940553	3694000000.0
121	-0.11744330241666516	3694200000.0
122	-0.11171112072932014	3694400000.0
123	-0.10916699951632862	3694600000.0
124	-0.10370349820138798	3694800000.0
125	-0.11827975663177115	3695000000.0
126	-0.11066577610765733	3695200000.0
127	-0.11453596096257816	3695400000.0
128	-0.10560263864792382	3695600000.0
129	-0.11679696148602044	3695800000.0
130	-0.09995201468465234	3696000000.0
131	-0.12197498274082699	3696200000.0
132	-0.10737456510492084	3696400000.0
133	-0.11148908252380535	3696600000.0
134	-0.10899529447574013	3696800000.0
135	-0.13087773613962864	3697000000.0
136	-0.10658182827610935	3697200000.0
137	-0.10151357760188101	3697400000.0
138	-0.12174285518239346	3697600000.0
139	-0.11475882669419599	3697800000.0
140	-0.11724635608931143	3698000000.0
141	-0.11169324558325668	3698200000.0
142	-0.11749699889843304	3698400000.0
143	-0.11761523436626466	3698600000.0
144	-0.10169212393496908	3698800000.0
145	-0.11209092180751669	3699000000.0
146	-0.09136835267008633	3699200000.0
147	-0.11829300236086539	3699400000.0
148	-0.11383070238319887	3699600000.0
149	-0.12489993102494441	3699800000.0
150	-0.11297679405647076	3700000000.0
151	-0.12226301187300272	3700200000.0
152	-0.10416609365282879	3700400000.0
153	-0.10760529380280491	3700600000.0
154	-0.11051245970551482	3700800000.0
155	-0.11850875701736137	3701000000.0
156	-0.11614537011967795	3701200000.0
157	-0.11858119738804082	3701400000.0
158	-0.09502028647819404	3701600000.0
159	-0.11797960655386355	3701800000.0
160	-0.10899850536188875	3702000000.0
161	-0.1102737618017786	3702200000.0
162	-0.1098130664126117	3702400000.0
163	-0.10334107130424636	3702600000.0
164	-0.12123366862877581	3702800000.0
165	-0.1189145262150674	3703000000.0
166	-0.10395083259737285	3703200000.0
167	-0.1177520887383692	3703400000.0
168	-0.0991709959768589	3703600000.0
169	-0.10718787499621601	3703800000.0
170	-0.12150683849149413	3704000000.0
171	-0.11803288762265202	3704200000.0
172	-0.10990126285974357	3704400000.0
173	-0.10573818152173378	3704600000.0
174	-0.11992501296535352	3704800000.0
175	-0.1069227362023578	3705000000.0
176	-0.11120617743452763	3705200000.0
177	-0.12270805227931862	3705400000.0
178	-0.1064558143880491	3705600000.0
179	-0.10074526798107736	3705800000.0
180	-0.10923814302228188	3706000000.0
181	-0.11609784539681071	3706200000.0
182	-0.10663221683782326	3706400000.0
183	-0.09889380718774132	3706600000.0
184	-0.09643756180876344	3706800000.0
185	-0.09992294343563576	3707000000.0
186	-0.09203300095922724	3707200000.0
187	-0.10771979687090955	3707400000.0
188	-0.09922631318821848	3707600000.0
189	-0.11142990012299425	3707800000.0
190	-0.12430036533153783	3708000000.0
191	-0.1128321077301543	3708200000.0
192	-0.11862172744558687	3708400000.0
193	-0.10480978778051922	3708600000.0
194	-0.10074855823203238	3708800000.0
195	-0.08637146986279139	3709000000.0
196	-0.1070470492758337	3709200000.0
197	-0.09495558385464944	3709400000.0
198	-0.100949234540403	3709600000.0
199	-0.11561731434851902	3709800000.0
200	-0.10732945654715921	3710000000.0
