	<n>	f
0	-0.1896478159482729	3670000000.0
1	-0.18970215430027831	3670200000.0
2	-0.2104535939670537	3670400000.0
3	-0.21290100069749499	3670600000.0
4	-0.22064533554666266	3670800000.0
5	-0.2131804307575467	3671000000.0
6	-0.22749382858303355	3671200000.0
7	-0.19931100538660212	3671400000.0
8	-0.19294332629136163	3671600000.0
9	-0.19700224551876339	3671800000.0
10	-0.20469516245706343	3672000000.0
11	-0.18544226060752372	3672200000.0
12	-0.18487778484702413	3672400000.0
13	-0.20990817549036275	3672600000.0
14	-0.20176310190807661	3672800000.0
15	-0.21349284774922425	3673000000.0
16	-0.19513722826033517	3673200000.0
17	-0.20501835807442112	3673400000.0
18	-0.20025268529721105	3673600000.0
19	-0.2221138952388803	3673800000.0
20	-0.2010636462149522	3674000000.0
21	-0.21850325440966195	3674200000.0
22	-0.2204364848275378	3674400000.0
23	-0.19543037719412404	3674600000.0
24	-0.2048260536032946	3674800000.0
25	-0.21650808242859312	3675000000.0
26	-0.21013798357286795	3675200000.0
27	-0.20829141036874282	3675400000.0
28	-0.21087816738434736	3675600000.0
29	-0.2040742283353008	3675800000.0
30	-0.21853827865230135	3676000000.0
31	-0.21345440385930128	3676200000.0
32	-0.2058146733392811	3676400000.0
33	-0.2047439331097839	3676600000.0
34	-0.21328397582414899	3676800000.0
35	-0.21888011083162162	3677000000.0
36	-0.22207948338728523	3677200000.0
37	-0.1951799183000427	3677400000.0
38	-0.22656192184136825	3677600000.0
39	-0.22621861818961406	3677800000.0
40	-0.23666738031885173	3678000000.0
41	-0.20241139575250164	3678200000.0
42	-0.22204367849959572	3678400000.0
43	-0.23712942781647306	3678600000.0
44	-0.19832660077828607	3678800000.0
45	-0.20376249917253975	3679000000.0
46	-0.20253050132317946	3679200000.0
47	-0.18336120676754136	3679400000.0
48	-0.18618739177480353	3679600000.0
49	-0.18428714444333633	3679800000.0
50	-0.2002482270556477	3680000000.0
51	-0.210585581221588	3680200000.0
52	-0.23601488521626882	3680400000.0
53	-0.20533777289709365	3680600000.0
54	-0.2086223681655767	3680800000.0
55	-0.2200872828960067	3681000000.0
56	-0.20026398871108259	3681200000.0
57	-0.21902918561160226	3681400000.0
58	-0.2100183907960809	3681600000.0
