	<n>	f
0	-0.03210450320978637	3670000000.0
1	-0.0293557198686082	3670200000.0
2	-0.03543950009967329	3670400000.0
3	-0.039097531210268294	3670600000.0
4	-0.041800661435837425	3670800000.0
5	-0.044325386637901164	3671000000.0
6	-0.033143408330270054	3671200000.0
7	-0.02930767416009057	3671400000.0
8	-0.050553659563591674	3671600000.0
9	-0.0226476796896599	3671800000.0
10	-0.04311995928432967	3672000000.0
11	-0.03647314578100681	3672200000.0
12	-0.052501275082706335	3672400000.0
13	-0.02366000121729608	3672600000.0
14	-0.0372599808529704	3672800000.0
15	-0.04852624938012162	3673000000.0
16	-0.05255963129906648	3673200000.0
17	-0.042880054273692285	3673400000.0
18	-0.03889574319694171	3673600000.0
19	-0.045204730152299595	3673800000.0
20	-0.01397701621047418	3674000000.0
21	-0.030777211511608893	3674200000.0
22	-0.030422957876773536	3674400000.0
23	-0.05000089836799933	3674600000.0
24	-0.04338499101722931	3674800000.0
25	-0.03939801171654959	3675000000.0
26	-0.025659548196369474	3675200000.0
27	-0.0351953150527763	3675400000.0
28	-0.054268714279931345	3675600000.0
29	-0.06750571613540005	3675800000.0
30	-0.03311795907459207	3676000000.0
31	-0.039055378915797696	3676200000.0
32	-0.050036151756011435	3676400000.0
33	-0.026550544890132997	3676600000.0
34	-0.030637202156718966	3676800000.0
35	-0.03600255770266662	3677000000.0
36	-0.045106110685579424	3677200000.0
37	-0.03393384503825576	3677400000.0
38	-0.04482413705376663	3677600000.0
39	-0.02876969101229783	3677800000.0
40	-0.03820375027257725	3678000000.0
41	-0.034885216613578074	3678200000.0
42	-0.04312011502015105	3678400000.0
43	-0.05024479407210617	3678600000.0
44	-0.0445034956522576	3678800000.0
45	-0.04459858360141201	3679000000.0
46	-0.043292811341308836	3679200000.0
47	-0.03539263902051105	3679400000.0
48	-0.03968194246450586	3679600000.0
49	-0.04163451110725486	3679800000.0
50	-0.037461291144669534	3680000000.0
51	-0.03243493089745382	3680200000.0
52	-0.04366067817914602	3680400000.0
53	-0.024681368490015274	3680600000.0
54	-0.024388444155691403	3680800000.0
55	-0.049188306926695395	3681000000.0
56	-0.030466826478101068	3681200000.0
57	-0.028204556644070473	3681400000.0
58	-0.06593082634253748	3681600000.0
59	-0.024476061311461267	3681800000.0
60	-0.038469954417165456	3682000000.0
61	-0.0486570882482348	3682200000.0
62	-0.013794227342984298	3682400000.0
63	-0.05823210316371536	3682600000.0
64	-0.04658672848236431	3682800000.0
65	-0.017639371138056414	3683000000.0
66	-0.03750918558868051	3683200000.0
