	<n>	f
0	-0.0295995943892138	3670000000.0
1	-0.04570020094331145	3670200000.0
2	-0.037104350192677424	3670400000.0
3	-0.032288415550951105	3670600000.0
4	-0.07104836178400371	3670800000.0
5	-0.03277810086305918	3671000000.0
6	-0.04832341347982129	3671200000.0
7	-0.0511592562244245	3671400000.0
8	-0.05050094748877929	3671600000.0
9	-0.025043694240072367	3671800000.0
10	-0.03259249316617063	3672000000.0
11	-0.03528564550225244	3672200000.0
12	-0.03598338639127411	3672400000.0
13	-0.04239272286748432	3672600000.0
14	-0.059673503977755636	3672800000.0
15	-0.04694575798871032	3673000000.0
16	-0.042656206927177226	3673200000.0
17	-0.048729774159576585	3673400000.0
18	-0.023372468073431046	3673600000.0
19	-0.03200140590549527	3673800000.0
20	-0.03363551778894967	3674000000.0
21	-0.0410193804326778	3674200000.0
22	-0.03896962009632974	3674400000.0
23	-0.05054368792006609	3674600000.0
24	-0.06169003266510445	3674800000.0
25	-0.05457644201731528	3675000000.0
26	-0.044366638979441	3675200000.0
27	-0.03310705010033898	3675400000.0
28	-0.04594317386742573	3675600000.0
29	-0.05352053605174268	3675800000.0
30	-0.037110750300433634	3676000000.0
31	-0.0345836229819849	3676200000.0
32	-0.05738842783224271	3676400000.0
33	-0.04498012827959854	3676600000.0
34	-0.052784476998802725	3676800000.0
35	-0.03996656453201973	3677000000.0
36	-0.03377646913475455	3677200000.0
37	-0.049411409754949585	3677400000.0
38	-0.04963545973170155	3677600000.0
39	-0.057973207436267334	3677800000.0
40	-0.019630201576944017	3678000000.0
41	-0.05119595191082739	3678200000.0
42	-0.03613051400244159	3678400000.0
43	-0.05993105689792139	3678600000.0
44	-0.03098368067413615	3678800000.0
45	-0.04545415392742085	3679000000.0
46	-0.04995469736332533	3679200000.0
47	-0.02821643723123786	3679400000.0
48	-0.05129697871119186	3679600000.0
49	-0.022411265543061724	3679800000.0
50	-0.05098716872709623	3680000000.0
51	-0.03618335903813377	3680200000.0
52	-0.04650640719544901	3680400000.0
53	-0.047549692161979955	3680600000.0
54	-0.04883634693349085	3680800000.0
55	-0.05760976118107664	3681000000.0
56	-0.04446697310978238	3681200000.0
57	-0.05243263317867159	3681400000.0
58	-0.049245930614121566	3681600000.0
59	-0.03008409902481956	3681800000.0
60	-0.04327799694524975	3682000000.0
61	-0.057260168006986654	3682200000.0
62	-0.04196337022326683	3682400000.0
63	-0.04159947232194037	3682600000.0
64	-0.04928828796886119	3682800000.0
65	-0.022275652511660502	3683000000.0
66	-0.04720514350176769	3683200000.0
67	-0.049047390384600556	3683400000.0
68	-0.05404638655450031	3683600000.0
69	-0.04828374153183175	3683800000.0
70	-0.03852397136993105	3684000000.0
71	-0.051816941455011825	3684200000.0
72	-0.05638170246134665	3684400000.0
73	-0.04756513714145194	3684600000.0
74	-0.04673489213586251	3684800000.0
75	-0.0379532504535387	3685000000.0
76	-0.040945348170325975	3685200000.0
77	-0.05660445810330395	3685400000.0
78	-0.03283773195184908	3685600000.0
79	-0.048712391360311844	3685800000.0
80	-0.04584945032522255	3686000000.0
81	-0.06487305056372719	3686200000.0
82	-0.038471833335333404	3686400000.0
83	-0.04255836879733052	3686600000.0
84	-0.05262371923596085	3686800000.0
85	-0.058757817921475025	3687000000.0
86	-0.04786366867402627	3687200000.0
87	-0.02777164051808211	3687400000.0
88	-0.05064041124137191	3687600000.0
89	-0.04836801915587615	3687800000.0
90	-0.042881238228970546	3688000000.0
91	-0.05923993368826476	3688200000.0
92	-0.03130334495202718	3688400000.0
93	-0.06600424223702538	3688600000.0
94	-0.04632368170353568	3688800000.0
95	-0.04145597963189394	3689000000.0
96	-0.04545065622664718	3689200000.0
97	-0.04079901769886266	3689400000.0
98	-0.05281189668253012	3689600000.0
99	-0.04259222736250264	3689800000.0
100	-0.05215747278991361	3690000000.0
101	-0.053798481869570036	3690200000.0
102	-0.05144149956469572	3690400000.0
103	-0.04177035697375354	3690600000.0
104	-0.030059278572789765	3690800000.0
105	-0.03916894895908742	3691000000.0
106	-0.01652890300325362	3691200000.0
107	-0.04322146561677885	3691400000.0
108	-0.01813550691699365	3691600000.0
109	-0.044446858264002735	3691800000.0
110	-0.03586941278644277	3692000000.0
111	-0.06103201361008563	3692200000.0
112	-0.03676733987125254	3692400000.0
113	-0.04335161755438811	3692600000.0
114	-0.02875779192224238	3692800000.0
115	-0.044739577941536296	3693000000.0
116	-0.01900131336383885	3693200000.0
117	-0.0294572705884548	3693400000.0
118	-0.054128338262525846	3693600000.0
119	-0.04008864786495801	3693800000.0
120	-0.03997692540809747	3694000000.0
121	-0.04444084164600605	3694200000.0
122	-0.04336709957985793	3694400000.0
123	-0.037320980492378156	3694600000.0
124	-0.039567776108364615	3694800000.0
125	-0.04518111854579764	3695000000.0
126	-0.03601598709880944	3695200000.0
127	-0.05246324631403246	3695400000.0
128	-0.04588636234179519	3695600000.0
129	-0.044177269570286434	3695800000.0
130	-0.036823299838410276	3696000000.0
131	-0.028902476294888995	3696200000.0
132	-0.03924197301057445	3696400000.0
133	-0.01570314510866731	3696600000.0
134	-0.03127952241478119	3696800000.0
135	-0.0449222130727217	3697000000.0
136	-0.03567138819419758	3697200000.0
137	-0.035809455089721824	3697400000.0
138	-0.02347844525146404	3697600000.0
139	-0.030226925662488618	3697800000.0
140	-0.04118617854781408	3698000000.0
141	-0.03895416750043632	3698200000.0
142	-0.04999424348075348	3698400000.0
143	-0.04373820625846979	3698600000.0
144	-0.04160689926855067	3698800000.0
145	-0.04443387143106514	3699000000.0
146	-0.027214110287959066	3699200000.0
147	-0.03316001471885592	3699400000.0
148	-0.026678439369496952	3699600000.0
149	-0.05561568730459217	3699800000.0
150	-0.030462204439503458	3700000000.0
151	-0.04204238666872056	3700200000.0
152	-0.04170833638724072	3700400000.0
153	-0.03313371245421645	3700600000.0
154	-0.034239484580377094	3700800000.0
155	-0.061820627582427526	3701000000.0
156	-0.04201078424073695	3701200000.0
157	-0.038458921334962926	3701400000.0
158	-0.043960652343292224	3701600000.0
159	-0.02410638909613643	3701800000.0
160	-0.04749939338273813	3702000000.0
161	-0.03873289302178771	3702200000.0
162	-0.031302175225797195	3702400000.0
163	-0.020571946401909794	3702600000.0
164	-0.038003247833035776	3702800000.0
165	-0.015643703556775912	3703000000.0
166	-0.026916882604458	3703200000.0
167	-0.048416348971934295	3703400000.0
168	-0.044547528446616406	3703600000.0
169	-0.02629781281248949	3703800000.0
170	-0.050078042961439966	3704000000.0
171	-0.04829267501721393	3704200000.0
172	-0.03223173174042885	3704400000.0
173	-0.0428249732702822	3704600000.0
174	-0.03886360037262388	3704800000.0
175	-0.03180046553086179	3705000000.0
176	-0.041450247045696914	3705200000.0
177	-0.054123412832630606	3705400000.0
178	-0.027744819894346455	3705600000.0
179	-0.01748757990362721	3705800000.0
180	-0.060687794663588604	3706000000.0
181	-0.046838085275039215	3706200000.0
182	-0.021114807710227397	3706400000.0
183	-0.047029856993011494	3706600000.0
184	-0.04658494214305528	3706800000.0
185	-0.029841686140496166	3707000000.0
186	-0.028333650686522886	3707200000.0
187	-0.044964277935730275	3707400000.0
188	-0.024228683651129523	3707600000.0
189	-0.020627537598258656	3707800000.0
190	-0.05482084633666058	3708000000.0
191	-0.04850965974828469	3708200000.0
192	-0.030400337676373713	3708400000.0
193	-0.05421460974074786	3708600000.0
194	-0.04199728329121893	3708800000.0
195	-0.032211181173103204	3709000000.0
196	-0.04780879040165739	3709200000.0
197	-0.03271270958664031	3709400000.0
198	-0.03982571916384656	3709600000.0
199	-0.0331657895571015	3709800000.0
200	-0.03527928935005896	3710000000.0
201	-0.017426049130892702	3710200000.0
202	-0.04211352046179211	3710400000.0
203	-0.03414089752416872	3710600000.0
204	-0.04776781179241286	3710800000.0
205	-0.04090450302723754	3711000000.0
206	-0.036902442171250736	3711200000.0
207	-0.03617260926126476	3711400000.0
208	-0.021132699661475633	3711600000.0
209	-0.028319571543140652	3711800000.0
210	-0.049141226076090984	3712000000.0
211	-0.021887501776292458	3712200000.0
212	-0.03982324530468189	3712400000.0
213	-0.017184106830691763	3712600000.0
214	-0.03991070699777904	3712800000.0
215	-0.02522077675705555	3713000000.0
216	-0.028982795128267128	3713200000.0
217	-0.05022821612756087	3713400000.0
218	-0.03430132562283	3713600000.0
219	-0.046919954579551004	3713800000.0
220	-0.024915508299729702	3714000000.0
221	-0.03997331909678061	3714200000.0
222	-0.023069316110850974	3714400000.0
223	-0.04301866519537964	3714600000.0
224	-0.04627075597253591	3714800000.0
225	-0.04237334822476532	3715000000.0
226	-0.050575600187803424	3715200000.0
227	-0.05715145371351943	3715400000.0
228	-0.05924017750134281	3715600000.0
229	-0.02860315426246372	3715800000.0
230	-0.03995187485614855	3716000000.0
231	-0.0454642324455057	3716200000.0
232	-0.052140189586181315	3716400000.0
233	-0.04018598267132859	3716600000.0
234	-0.04558711862974523	3716800000.0
235	-0.03529706587748779	3717000000.0
236	-0.04497539509471276	3717200000.0
237	-0.032654326633059685	3717400000.0
238	-0.03495932147831511	3717600000.0
239	-0.025430112564777698	3717800000.0
240	-0.046993562164755046	3718000000.0
241	-0.0331904395946654	3718200000.0
242	-0.030717768700753868	3718400000.0
243	-0.03364153263214259	3718600000.0
244	-0.045628562465998224	3718800000.0
245	-0.04156029491360908	3719000000.0
246	-0.03234805848564554	3719200000.0
247	-0.04930831105126623	3719400000.0
248	-0.05080343225412283	3719600000.0
249	-0.02050708454807712	3719800000.0
250	-0.031245404287464883	3720000000.0
251	-0.031240962353087303	3720200000.0
252	-0.024077436306728574	3720400000.0
253	-0.029012861252205136	3720600000.0
254	-0.021349653546972675	3720800000.0
255	-0.042774897296759234	3721000000.0
256	-0.03299309485992207	3721200000.0
257	-0.04894409616286028	3721400000.0
258	-0.03457791005944792	3721600000.0
259	-0.04163806109463189	3721800000.0
260	-0.033234155374300405	3722000000.0
261	-0.038508295302150275	3722200000.0
262	-0.05041233715899997	3722400000.0
263	-0.021704956742658692	3722600000.0
264	-0.04068276246905992	3722800000.0
265	-0.04739033899508405	3723000000.0
266	-0.02932837227153091	3723200000.0
267	-0.052683054433137304	3723400000.0
268	-0.0509462789089727	3723600000.0
269	-0.041166978383008715	3723800000.0
270	-0.05792431310447049	3724000000.0
271	-0.057461862819562746	3724200000.0
272	-0.0402010255596494	3724400000.0
273	-0.02470583500833017	3724600000.0
274	-0.06168472031451753	3724800000.0
275	-0.02774273836088853	3725000000.0
276	-0.05051362435972827	3725200000.0
277	-0.06228082027106704	3725400000.0
278	-0.04608249781919655	3725600000.0
279	-0.047123028453984306	3725800000.0
280	-0.040420833466042735	3726000000.0
281	-0.054009732300470285	3726200000.0
282	-0.03819528207173356	3726400000.0
283	-0.03957369635298237	3726600000.0
284	-0.04754900198671472	3726800000.0
285	-0.03754068553607699	3727000000.0
286	-0.04019571288688789	3727200000.0
287	-0.055043084723076	3727400000.0
288	-0.029034241917837846	3727600000.0
289	-0.05348088936159902	3727800000.0
290	-0.03869828651926054	3728000000.0
291	-0.049124703818748124	3728200000.0
292	-0.037136505008570846	3728400000.0
293	-0.031746742843209864	3728600000.0
294	-0.04266213748472394	3728800000.0
295	-0.0493950838383555	3729000000.0
296	-0.040492436573428596	3729200000.0
297	-0.030421150700451635	3729400000.0
298	-0.028840252473226916	3729600000.0
299	-0.04923389199118908	3729800000.0
300	-0.05050586532921223	3730000000.0
301	-0.01660184487547254	3730200000.0
302	-0.03488037164996977	3730400000.0
303	-0.036875887827970515	3730600000.0
304	-0.03972624212462195	3730800000.0
305	-0.020375210149056026	3731000000.0
306	-0.03258832124968798	3731200000.0
307	-0.046820384727905326	3731400000.0
308	-0.04789443134631073	3731600000.0
309	-0.03833248701234711	3731800000.0
310	-0.04373915299700895	3732000000.0
311	-0.055036117751091816	3732200000.0
312	-0.06937761830412857	3732400000.0
313	-0.02683209796278735	3732600000.0
314	-0.05092220289532017	3732800000.0
315	-0.056050672992690495	3733000000.0
316	-0.04184215025955071	3733200000.0
317	-0.05086029522915711	3733400000.0
318	-0.04630756650109279	3733600000.0
319	-0.0364335269418992	3733800000.0
320	-0.04375570413154393	3734000000.0
321	-0.038949754819824954	3734200000.0
322	-0.05451261008100804	3734400000.0
323	-0.056817837956515155	3734600000.0
324	-0.05358845859687852	3734800000.0
325	-0.04800196896525188	3735000000.0
326	-0.027452325714662273	3735200000.0
327	-0.02350921447167188	3735400000.0
328	-0.03375325960853032	3735600000.0
329	-0.03254436032327534	3735800000.0
330	-0.045062462809974925	3736000000.0
331	-0.034961200276900584	3736200000.0
332	-0.048807414659748076	3736400000.0
333	-0.03173080322762272	3736600000.0
334	-0.03723478004492537	3736800000.0
335	-0.015518528956723409	3737000000.0
336	-0.037951325894925	3737200000.0
337	-0.03757402485966613	3737400000.0
338	-0.04661954078795858	3737600000.0
339	-0.04006637539786504	3737800000.0
340	-0.053134291283118945	3738000000.0
341	-0.03342542106706135	3738200000.0
342	-0.046254229788475903	3738400000.0
343	-0.04494804832032829	3738600000.0
344	-0.055675159942756285	3738800000.0
345	-0.05547244458472644	3739000000.0
346	-0.04233847610330148	3739200000.0
347	-0.04299232846983731	3739400000.0
348	-0.03308178370153451	3739600000.0
349	-0.04403149222990127	3739800000.0
350	-0.034672188326148885	3740000000.0
351	-0.04223366216184504	3740200000.0
352	-0.028105515182314023	3740400000.0
353	-0.04579588091796066	3740600000.0
354	-0.035870731162687235	3740800000.0
355	-0.030641806176007886	3741000000.0
356	-0.05369921043203656	3741200000.0
357	-0.04532716552103582	3741400000.0
358	-0.059437021536109386	3741600000.0
359	-0.042499604814144575	3741800000.0
360	-0.036247938453443235	3742000000.0
361	-0.03616701391395208	3742200000.0
362	-0.050443119096515	3742400000.0
363	-0.05554313020751266	3742600000.0
364	-0.04184161503775706	3742800000.0
365	-0.05224263480159753	3743000000.0
366	-0.047714263301413755	3743200000.0
367	-0.024431317332511582	3743400000.0
368	-0.025905058853244275	3743600000.0
369	-0.06938084471410341	3743800000.0
370	-0.044083097398874185	3744000000.0
371	-0.0520341513932033	3744200000.0
372	-0.05631607818680447	3744400000.0
373	-0.018945706032745105	3744600000.0
374	-0.03758919764711081	3744800000.0
375	-0.030438363546113883	3745000000.0
376	-0.06404431381247838	3745200000.0
377	-0.043410900910870645	3745400000.0
378	-0.040516272741189636	3745600000.0
379	-0.04951443782392609	3745800000.0
380	-0.04893770657339403	3746000000.0
381	-0.02472839812799701	3746200000.0
382	-0.036171324884228855	3746400000.0
383	-0.059000756413469	3746600000.0
384	-0.04832286656007237	3746800000.0
385	-0.0644546162710645	3747000000.0
386	-0.03518809641575171	3747200000.0
387	-0.048830092968523545	3747400000.0
388	-0.05290074890131821	3747600000.0
389	-0.03442930404432511	3747800000.0
390	-0.03710429163160919	3748000000.0
391	-0.035052903197424747	3748200000.0
392	-0.030927508576035767	3748400000.0
393	-0.04537384407402886	3748600000.0
394	-0.029336770236272916	3748800000.0
395	-0.05742828946676879	3749000000.0
396	-0.03803900227922992	3749200000.0
397	-0.040196958796318	3749400000.0
398	-0.04061915841305972	3749600000.0
399	-0.031434804266506515	3749800000.0
400	-0.024805218156980904	3750000000.0
401	-0.047074151996561446	3750200000.0
402	-0.06155261357241446	3750400000.0
403	-0.04138564778395333	3750600000.0
404	-0.027642676499234395	3750800000.0
405	-0.04460363416469693	3751000000.0
406	-0.048746332571544405	3751200000.0
407	-0.03940616038441779	3751400000.0
408	-0.04103329908787974	3751600000.0
409	-0.0564466154296554	3751800000.0
410	-0.02400790842539174	3752000000.0
411	-0.05180139801264536	3752200000.0
412	-0.04483502504755442	3752400000.0
413	-0.05251327540823266	3752600000.0
414	-0.03242157260936467	3752800000.0
415	-0.04172953124238789	3753000000.0
416	-0.05201147823390387	3753200000.0
417	-0.05770817279398205	3753400000.0
418	-0.04930278722599932	3753600000.0
419	-0.05408927098485886	3753800000.0
420	-0.05586162408660168	3754000000.0
421	-0.05767611636740736	3754200000.0
422	-0.04551389762872073	3754400000.0
423	-0.04380024797854578	3754600000.0
424	-0.062057819961193375	3754800000.0
425	-0.041078230743120274	3755000000.0
426	-0.05667335598172023	3755200000.0
427	-0.03984254814414364	3755400000.0
428	-0.04391096431630399	3755600000.0
429	-0.03403119808264676	3755800000.0
430	-0.028170247056326616	3756000000.0
431	-0.030865910997946434	3756200000.0
432	-0.03048273681681857	3756400000.0
433	-0.0365492418517672	3756600000.0
434	-0.04243815082397296	3756800000.0
435	-0.04566482772838424	3757000000.0
436	-0.05067205704832285	3757200000.0
437	-0.031491967203846026	3757400000.0
438	-0.03539189495095704	3757600000.0
439	-0.055841880204545995	3757800000.0
440	-0.04581792840263829	3758000000.0
441	-0.04665947379212609	3758200000.0
