	<n>	f
0	0.05080797545238097	3670000000.0
1	0.05092415740955586	3670200000.0
2	0.05899149917403377	3670400000.0
3	0.061706777183194436	3670600000.0
4	0.05922692642986369	3670800000.0
5	0.058037823177651694	3671000000.0
6	0.05899848418645892	3671200000.0
7	0.0645132307674805	3671400000.0
8	0.069396467909476	3671600000.0
9	0.07754393143883904	3671800000.0
10	0.08458180102985637	3672000000.0
11	0.07591022548739204	3672200000.0
12	0.07383042524020315	3672400000.0
13	0.06936743408793009	3672600000.0
14	0.07174757095203957	3672800000.0
15	0.06482871644843359	3673000000.0
16	0.0556574638613031	3673200000.0
17	0.05221439779049431	3673400000.0
18	0.054823622039585	3673600000.0
19	0.05717109412268005	3673800000.0
20	0.052995002057462375	3674000000.0
21	0.06011925089361776	3674200000.0
22	0.06586550120123146	3674400000.0
23	0.07640985403172866	3674600000.0
24	0.07524763504458823	3674800000.0
25	0.07676850972087476	3675000000.0
26	0.06871921978942432	3675200000.0
27	0.0720178747146386	3675400000.0
28	0.07771577999387322	3675600000.0
29	0.07730534736073782	3675800000.0
30	0.06910807461403823	3676000000.0
31	0.06939066400291126	3676200000.0
32	0.07296316949490048	3676400000.0
33	0.07181312253197736	3676600000.0
34	0.06440154546980442	3676800000.0
35	0.06966879758110471	3677000000.0
36	0.06202490912609723	3677200000.0
37	0.05385373028549831	3677400000.0
38	0.05606907643388875	3677600000.0
39	0.053395191182195156	3677800000.0
40	0.052576712602007365	3678000000.0
41	0.05210404343602932	3678200000.0
42	0.05808248750691826	3678400000.0
43	0.05817020001268673	3678600000.0
44	0.05326528592358907	3678800000.0
45	0.05440646966567552	3679000000.0
46	0.05922255445436584	3679200000.0
47	0.061403562975411635	3679400000.0
48	0.0584935973723651	3679600000.0
49	0.05821764305050089	3679800000.0
50	0.05833875204107671	3680000000.0
51	0.06501809461701627	3680200000.0
52	0.06609952080153142	3680400000.0
53	0.0702326040243602	3680600000.0
54	0.08129173915509903	3680800000.0
55	0.11386699643876151	3681000000.0
56	0.1336014480907582	3681200000.0
57	0.08782255349233344	3681400000.0
58	0.07569583884175902	3681600000.0
59	0.07954648899855649	3681800000.0
60	0.08068323045772456	3682000000.0
61	0.08196264735671616	3682200000.0
62	0.0858807334851871	3682400000.0
63	0.09275427914222491	3682600000.0
64	0.09776134901046714	3682800000.0
65	0.10057858958238765	3683000000.0
66	0.10165040150086527	3683200000.0
67	0.11165839663496425	3683400000.0
68	0.11381888406092575	3683600000.0
69	0.1270150179804824	3683800000.0
70	0.13451180834989693	3684000000.0
71	0.1368131995385937	3684200000.0
72	0.13740979975621262	3684400000.0
73	0.13984659994480983	3684600000.0
74	0.13833645407348796	3684800000.0
75	0.14127439718951745	3685000000.0
76	0.14217183203512568	3685200000.0
77	0.14553434547726007	3685400000.0
78	0.15184248454843505	3685600000.0
79	0.1467997916104884	3685800000.0
80	0.1507065965028062	3686000000.0
81	0.15058835594590428	3686200000.0
82	0.14422960110085853	3686400000.0
83	0.132590824481922	3686600000.0
84	0.1185394941101475	3686800000.0
85	0.11162638630787863	3687000000.0
86	0.11047895356674425	3687200000.0
87	0.10876269000080313	3687400000.0
88	0.10586171193869952	3687600000.0
89	0.10256299191617592	3687800000.0
90	0.10699058620176369	3688000000.0
91	0.11493812918953573	3688200000.0
92	0.11099560010695785	3688400000.0
93	0.10590011063291337	3688600000.0
94	0.11090500822164322	3688800000.0
95	0.11221358873719266	3689000000.0
96	0.11558236005350969	3689200000.0
97	0.12217027343996112	3689400000.0
98	0.1312299602964131	3689600000.0
99	0.13411314131930288	3689800000.0
100	0.12771896979806144	3690000000.0
101	0.13928567051840257	3690200000.0
102	0.1438466189056267	3690400000.0
103	0.1401160971666974	3690600000.0
104	0.13993839352808685	3690800000.0
105	0.1410811713278354	3691000000.0
