	<n>	f
0	-0.07444641795598818	3670000000.0
1	-0.07008236226921472	3670200000.0
2	-0.09182246434258726	3670400000.0
3	-0.07661149210273531	3670600000.0
4	-0.061672182709796734	3670800000.0
5	-0.0784186929369359	3671000000.0
6	-0.08308328198983454	3671200000.0
7	-0.07721178112879094	3671400000.0
8	-0.07735429958143515	3671600000.0
9	-0.06490240573597125	3671800000.0
10	-0.07211053865114626	3672000000.0
11	-0.10423867556861724	3672200000.0
12	-0.08977368377215444	3672400000.0
13	-0.06438885220963889	3672600000.0
14	-0.08283747017152969	3672800000.0
15	-0.08638782744145686	3673000000.0
16	-0.08427893614264666	3673200000.0
17	-0.08182275718193532	3673400000.0
18	-0.07565119672299353	3673600000.0
19	-0.06571079973917489	3673800000.0
20	-0.0803301434549231	3674000000.0
21	-0.07726195452310451	3674200000.0
22	-0.07125269828814354	3674400000.0
23	-0.07822839913480377	3674600000.0
24	-0.05858284919986319	3674800000.0
25	-0.09180932103382006	3675000000.0
26	-0.07180966281246756	3675200000.0
27	-0.08422328767586124	3675400000.0
28	-0.09348066125453611	3675600000.0
29	-0.07831520687790693	3675800000.0
30	-0.08958885206748614	3676000000.0
31	-0.07071092102617359	3676200000.0
32	-0.07441559693095276	3676400000.0
33	-0.07820286923355788	3676600000.0
34	-0.08043043881778256	3676800000.0
35	-0.08854009254365851	3677000000.0
36	-0.07832996890332157	3677200000.0
37	-0.06896154133481691	3677400000.0
38	-0.07007135787843345	3677600000.0
39	-0.09116207001158136	3677800000.0
40	-0.07826926306217644	3678000000.0
41	-0.07674336169183908	3678200000.0
42	-0.0870701514456616	3678400000.0
43	-0.09977799005898502	3678600000.0
44	-0.07315735143169366	3678800000.0
45	-0.09040533233590607	3679000000.0
46	-0.07772412702888704	3679200000.0
47	-0.0927976353579272	3679400000.0
48	-0.08609797505291256	3679600000.0
49	-0.07569911472985338	3679800000.0
50	-0.08887463494446178	3680000000.0
51	-0.08723644054396842	3680200000.0
52	-0.08461217879093047	3680400000.0
53	-0.0679095250572636	3680600000.0
54	-0.09005694544558751	3680800000.0
55	-0.08702638731043728	3681000000.0
56	-0.08823657370822575	3681200000.0
57	-0.08077354027347743	3681400000.0
58	-0.07083811360707369	3681600000.0
59	-0.09086272610393667	3681800000.0
60	-0.07503961245538109	3682000000.0
61	-0.08712895195107129	3682200000.0
62	-0.08914723363172632	3682400000.0
63	-0.08402150606187232	3682600000.0
64	-0.07217938883747146	3682800000.0
65	-0.07369266384436847	3683000000.0
