	+Z+Z	+Z+X	+Z+Y	+Z-Z	+Z-X	+Z-Y	+X+Z	+X+X	+X+Y	+X-Z	+X-X	+X-Y	+Y+Z	+Y+X	+Y+Y	+Y-Z	+Y-X	+Y-Y	-Z+Z	-Z+X	-Z+Y	-Z-Z	-Z-X	-Z-Y	-X+Z	-X+X	-X+Y	-X-Z	-X-X	-X-Y	-Y+Z	-Y+X	-Y+Y	-Y-Z	-Y-X	-Y-Y
164	39845.0	33411.0	33188.0	26705.0	33679.0	33247.0	33688.0	25738.0	32296.0	33675.0	39131.0	32664.0	34097.0	32592.0	24879.0	24691.0	32351.0	38865.0	28729.0	25890.0	26281.0	32253.0	35590.0	35244.0	34133.0	38145.0	32292.0	23783.0	25850.0	32022.0	34413.0	32070.0	38579.0	33020.0	32089.0	25382.0
165	40688.0	34433.0	34589.0	27922.0	34183.0	34282.0	35432.0	26625.0	32884.0	34790.0	39432.0	33050.0	35851.0	33507.0	26937.0	26054.0	33251.0	39925.0	29919.0	27619.0	27806.0	33745.0	36322.0	36029.0	35083.0	39862.0	33144.0	25129.0	26937.0	32963.0	35441.0	33032.0	40098.0	33893.0	33488.0	26293.0
166	39108.0	33428.0	32971.0	26549.0	33026.0	33627.0	34293.0	24947.0	31492.0	33609.0	38169.0	32496.0	34436.0	31081.0	25432.0	24759.0	31786.0	39087.0	28492.0	25494.0	25872.0	32153.0	35453.0	35140.0	34143.0	38137.0	31914.0	24209.0	25824.0	32624.0	33282.0	31953.0	38482.0	32741.0	32089.0	26206.0
167	39969.0	34303.0	34031.0	29036.0	34906.0	34878.0	34969.0	27116.0	32166.0	34593.0	39384.0	34089.0	34779.0	33253.0	26430.0	26482.0	33588.0	39226.0	29959.0	27614.0	27182.0	33574.0	36339.0	35986.0	35731.0	39122.0	33869.0	26090.0	27461.0	33215.0	34651.0	31935.0	39311.0	34755.0	33477.0	27665.0
168	38016.0	33833.0	33057.0	27063.0	33096.0	33335.0	33498.0	27384.0	32238.0	33483.0	38024.0	32100.0	34031.0	32177.0	26572.0	25851.0	32296.0	37860.0	28972.0	26947.0	27992.0	31841.0	34591.0	34340.0	34219.0	37578.0	31952.0	25298.0	26731.0	31584.0	33953.0	31897.0	37507.0	32696.0	32169.0	26384.0
169	39080.0	33598.0	33994.0	28119.0	33479.0	32871.0	34659.0	26577.0	32409.0	33895.0	37989.0	31721.0	34391.0	32278.0	26917.0	26124.0	31648.0	38309.0	29102.0	26760.0	27956.0	32132.0	34926.0	34937.0	34807.0	38460.0	32676.0	25292.0	26490.0	32050.0	33836.0	32740.0	38527.0	32751.0	32265.0	25944.0
170	39249.0	34044.0	33486.0	28262.0	33620.0	33338.0	34409.0	26946.0	32786.0	34251.0	38213.0	33041.0	34596.0	32703.0	27077.0	27506.0	32306.0	38302.0	29435.0	28181.0	28176.0	32879.0	35237.0	35158.0	34915.0	38437.0	32868.0	25645.0	26803.0	33075.0	34566.0	32456.0	38803.0	33440.0	32705.0	26646.0
171	38516.0	33661.0	32955.0	27449.0	33819.0	33457.0	33220.0	26915.0	32551.0	33587.0	38156.0	33032.0	33517.0	32879.0	26523.0	25747.0	31863.0	38496.0	27373.0	27407.0	28137.0	31935.0	35701.0	34350.0	33918.0	38395.0	32699.0	25163.0	26330.0	32650.0	33903.0	32233.0	37941.0	32977.0	32172.0	26116.0
172	37708.0	32366.0	32920.0	26844.0	32605.0	32476.0	33246.0	25952.0	31790.0	32903.0	36723.0	31026.0	33305.0	32166.0	26219.0	25432.0	31164.0	37118.0	28322.0	26804.0	27014.0	31384.0	33870.0	33467.0	32992.0	37180.0	31436.0	25056.0	25976.0	31075.0	33360.0	31474.0	37369.0	32364.0	31231.0	25638.0
173	40536.0	35625.0	35215.0	29344.0	35319.0	35709.0	35159.0	28821.0	34155.0	36007.0	39709.0	34567.0	35438.0	34850.0	28237.0	28548.0	34061.0	39858.0	30354.0	29388.0	29329.0	34396.0	37047.0	36329.0	35680.0	39914.0	34482.0	27554.0	29015.0	34471.0	35654.0	34151.0	40306.0	35108.0	35029.0	28412.0
174	39751.0	34578.0	34715.0	29055.0	34797.0	34307.0	35695.0	27768.0	33999.0	34933.0	39454.0	33274.0	35726.0	33533.0	27806.0	27178.0	33022.0	38938.0	31207.0	28462.0	28844.0	33403.0	36287.0	35680.0	35258.0	39625.0	34112.0	26508.0	27347.0	32914.0	35414.0	33806.0	39489.0	33859.0	33617.0	27048.0
175	38450.0	33138.0	33010.0	26770.0	33105.0	33358.0	33817.0	26447.0	32448.0	33115.0	37979.0	32013.0	33816.0	32197.0	26055.0	25926.0	31799.0	38179.0	28844.0	27239.0	27313.0	32490.0	34954.0	34858.0	34031.0	37644.0	32000.0	24878.0	26558.0	32390.0	34101.0	31955.0	37637.0	32622.0	32347.0	27218.0
176	39070.0	34212.0	34280.0	27712.0	34107.0	34358.0	34786.0	26601.0	33047.0	34595.0	38573.0	33052.0	34715.0	33790.0	27185.0	26173.0	33132.0	38730.0	29747.0	28346.0	28631.0	32485.0	35837.0	35782.0	34566.0	39016.0	33303.0	25876.0	27790.0	32436.0	34759.0	32812.0	38937.0	33125.0	32838.0	27311.0
177	39413.0	33792.0	34735.0	27595.0	34277.0	34012.0	34632.0	26680.0	33332.0	34209.0	38767.0	33054.0	34382.0	33109.0	26712.0	25817.0	32813.0	38406.0	29199.0	27660.0	28154.0	33231.0	35484.0	34790.0	34584.0	38852.0	32940.0	26033.0	26335.0	33271.0	34519.0	32738.0	38829.0	33494.0	32524.0	27728.0
178	39129.0	33986.0	33748.0	27262.0	33813.0	33353.0	34979.0	26633.0	31937.0	34081.0	38417.0	32589.0	34558.0	32536.0	25881.0	26211.0	32553.0	38425.0	29126.0	27175.0	27517.0	33369.0	35075.0	34865.0	34285.0	38508.0	32883.0	25416.0	26716.0	32869.0	34831.0	32043.0	37816.0	33572.0	32449.0	25893.0
179	37579.0	32424.0	32417.0	26001.0	32322.0	32898.0	32616.0	25620.0	31377.0	31788.0	37227.0	30986.0	33393.0	31840.0	25488.0	24140.0	30866.0	36698.0	28078.0	26196.0	26275.0	30659.0	33972.0	33583.0	33082.0	37250.0	30948.0	23873.0	25934.0	30962.0	33619.0	31806.0	36730.0	31598.0	31471.0	24715.0
180	38227.0	32793.0	33348.0	27114.0	32446.0	32491.0	33861.0	26587.0	31810.0	32620.0	37102.0	31305.0	33362.0	31801.0	26332.0	25293.0	31562.0	37111.0	28365.0	27317.0	26801.0	31757.0	33882.0	33918.0	33199.0	37990.0	32032.0	24907.0	25563.0	31595.0	33541.0	32565.0	37460.0	32556.0	31551.0	25957.0
181	39746.0	34854.0	33890.0	28152.0	33982.0	34341.0	34817.0	27478.0	32364.0	34819.0	38548.0	33475.0	34724.0	33060.0	27398.0	26633.0	32837.0	38670.0	30361.0	27980.0	28230.0	32519.0	34804.0	35449.0	34938.0	38673.0	32327.0	26299.0	26570.0	33241.0	35290.0	32784.0	38680.0	33636.0	32530.0	27211.0
182	38693.0	32153.0	32439.0	25803.0	32229.0	33064.0	33485.0	23996.0	31072.0	32571.0	37837.0	31308.0	32976.0	31420.0	24560.0	23863.0	31141.0	38304.0	27311.0	25103.0	25676.0	31294.0	34067.0	34179.0	33020.0	37907.0	31045.0	23643.0	25291.0	31117.0	32784.0	31130.0	38127.0	31794.0	31612.0	24718.0
183	39274.0	33418.0	33453.0	26393.0	33427.0	33545.0	34564.0	25357.0	32292.0	33983.0	38266.0	32137.0	34443.0	32265.0	25906.0	25025.0	31857.0	39026.0	27963.0	26164.0	26406.0	32389.0	35341.0	35329.0	34128.0	38576.0	32090.0	24372.0	25380.0	32615.0	34149.0	32083.0	38710.0	32747.0	31973.0	25863.0
184	39815.0	34074.0	33685.0	27009.0	34208.0	33842.0	34495.0	26223.0	32762.0	34126.0	39423.0	32941.0	34581.0	32887.0	26481.0	25275.0	32497.0	39212.0	29209.0	27496.0	27667.0	32758.0	35788.0	35115.0	34930.0	39346.0	32814.0	24770.0	25663.0	32393.0	34862.0	32491.0	39229.0	33491.0	33233.0	26181.0
185	40279.0	35002.0	34635.0	28556.0	34392.0	34651.0	35598.0	28138.0	33931.0	34916.0	39403.0	33102.0	35234.0	34073.0	27548.0	26643.0	33266.0	39770.0	30033.0	28629.0	29385.0	33489.0	36601.0	36362.0	36162.0	40026.0	34484.0	25579.0	27806.0	33162.0	35841.0	33709.0	39917.0	34530.0	33355.0	27286.0
186	38907.0	32244.0	33421.0	27256.0	33503.0	33236.0	33392.0	25198.0	31503.0	33922.0	38188.0	31623.0	33553.0	32031.0	25487.0	25896.0	31775.0	38457.0	28121.0	25984.0	26594.0	31468.0	34422.0	34631.0	33223.0	37339.0	31985.0	24218.0	25332.0	31975.0	34230.0	31812.0	38649.0	32264.0	31668.0	25894.0
