	<n>	f
0	-0.05219219621831416	3670000000.0
1	-0.05013660116078921	3670200000.0
2	-0.07691380167370612	3670400000.0
3	-0.06564918608804414	3670600000.0
4	-0.04387484477989765	3670800000.0
5	-0.05906715861288249	3671000000.0
6	-0.06297590694341329	3671200000.0
7	-0.055345541786884896	3671400000.0
8	-0.07532849782008055	3671600000.0
9	-0.0629729994926296	3671800000.0
10	-0.05637312936128479	3672000000.0
11	-0.08042353642922695	3672200000.0
12	-0.057123003885775424	3672400000.0
13	-0.05894668982319904	3672600000.0
14	-0.06168287558149756	3672800000.0
15	-0.05880522984676388	3673000000.0
16	-0.04762482124322265	3673200000.0
17	-0.06363547953247543	3673400000.0
18	-0.061377521735392786	3673600000.0
19	-0.058119089447422126	3673800000.0
20	-0.05102865600327008	3674000000.0
21	-0.04569109374055122	3674200000.0
22	-0.06071815064391324	3674400000.0
23	-0.03600441426892427	3674600000.0
24	-0.05188501851833934	3674800000.0
25	-0.05327777404811674	3675000000.0
26	-0.04130638987758078	3675200000.0
27	-0.061161830771941816	3675400000.0
28	-0.061701292781832694	3675600000.0
29	-0.05508877745909069	3675800000.0
30	-0.07269348046234028	3676000000.0
31	-0.04896158039379448	3676200000.0
32	-0.06525989054794984	3676400000.0
33	-0.0506079665297566	3676600000.0
34	-0.04624895588053024	3676800000.0
35	-0.07825942947372473	3677000000.0
36	-0.05681133871283253	3677200000.0
37	-0.06647253342305046	3677400000.0
38	-0.09447963422145655	3677600000.0
39	-0.04881495402049661	3677800000.0
40	-0.04935494689987497	3678000000.0
41	-0.053251887117684284	3678200000.0
42	-0.04979283332874649	3678400000.0
43	-0.0717923387187962	3678600000.0
44	-0.049856952669025824	3678800000.0
45	-0.05456205362862248	3679000000.0
46	-0.047893755512760004	3679200000.0
47	-0.06430414457581575	3679400000.0
48	-0.06308610365214212	3679600000.0
49	-0.0504992980743718	3679800000.0
50	-0.0541524309485538	3680000000.0
51	-0.0504019192473616	3680200000.0
52	-0.04804650926114598	3680400000.0
53	-0.07300484205349962	3680600000.0
54	-0.05779937169724787	3680800000.0
55	-0.06873109435043655	3681000000.0
56	-0.0683400510623482	3681200000.0
57	-0.07221761574413396	3681400000.0
58	-0.05827740423706625	3681600000.0
59	-0.05575421485828309	3681800000.0
60	-0.055041822641282594	3682000000.0
61	-0.04644184824126572	3682200000.0
62	-0.03807732571363961	3682400000.0
63	-0.07231921757481517	3682600000.0
64	-0.0530938236020754	3682800000.0
